[u'whhr40wAAAAJ', 'Carnegie Institution']
[u'qzi1OWMAAAAJ', 'Universit Lyon 1']
[u'6ll9rWcAAAAJ', 'University of Copenhagen']
[u'6t0ivcUAAAAJ', 'University of Granada']
[u'QRztYC8AAAAJ', 'Leiden University']
[u'vfVifAsAAAAJ', 'Ghent University']
[u'JMeto70AAAAJ', 'Lund University']
[u'ctvKSMkAAAAJ', 'Senckenberg Forschungsinstitut und Naturmuseum']
[u'7ru_JygAAAAJ', 'Institute of Geography']
[u'teEIvDIAAAAJ', 'University of the Ryukyus']
[u'nBIL9OMAAAAJ', 'Alfred Wegener Institute for Polar and Marine Research']
[u'LC9zeH0AAAAJ', 'Monash University']
[u'qsj9puwAAAAJ', 'Deakin University']
[u'kXVhEGEAAAAJ', 'Wageningen University']
[u'dbfeR3YAAAAJ', 'Monash University']
[u'y4t812sAAAAJ', 'The University of Melbourne']
[u'L8mloIcAAAAJ', 'University of Bordeaux']
[u'3fthAoEAAAAJ', 'Universit de Lige']
[u'S5BKYGkAAAAJ', 'Swedish University of Agricultural Sciences']
[u'zvcobIsAAAAJ', 'Murdoch University']
[u'H6i6i7QAAAAJ', 'Institute of Research Science and Technology for Environment and Agriculture']
[u'LLJIuUoAAAAJ', 'University of Salento']
[u'WC4nhacAAAAJ', 'Leibniz Institute of Ecological Urban and Regional Development']
[u'SfTK73IAAAAJ', 'University of vora']
[u'd1xA9mEAAAAJ', 'Flemish Institute for Technological Research']
[u'wjLB0cMAAAAJ', 'University of Parma']
[u'6ZclK-sAAAAJ', 'Leuphana University Lueneburg']
[u'i_tNnJ0AAAAJ', 'International Water Management Institute']
[u'7FJfUN8AAAAJ', 'The University of Auckland']
[u'H1QNP7rdrUEC', 'USDA Forest Service- Institute of Pacific Islands Forestry']
[u'VWoWJYwAAAAJ', 'Australian National University; Institute of Ecology and Biodiversity']
[u'F6ZrAIQAAAAJ', 'The Australian National University']
[u'NLrsbcAAAAAJ', 'Torino University']
[u'21mYgk4AAAAJ', 'Keimyung University']
[u'e42F2cQAAAAJ', 'University of Vienna']
[u'z4EWatoAAAAJ', 'Memorial University of Newfoundland']
[u'8rfEez4AAAAJ', 'St-Lawrence Center']
[u'vCnj8hQAAAAJ', 'University of Melbourne']
[u'byVkDcMAAAAJ', 'University of the Philippines Open University']
[u'W9gDklIAAAAJ', 'Forestry and Forest Products Research Institute']
[u'VQIwZIUAAAAJ', 'Taif University']
[u'5E0H4J8AAAAJ', 'University of Pretoria']
[u'Etv2WgIAAAAJ', 'Iwate University']
[u'scj1vZ4AAAAJ', 'University of Edinburgh']
[u'qo1nSMUAAAAJ', 'Technical University of Madrid (UPM)']
[u'EA_lB7sAAAAJ', 'Banaras Hindu University']
[u'sDh4uTYAAAAJ', 'Griffith University']
[u'CfB25zkAAAAJ', 'National Institute for Environmental Studies']
[u'wK1loZAAAAAJ', 'Etvs University']
[u'erToTmoAAAAJ', 'University of London']
[u'5V7lrHYAAAAJ', 'University of Malaga']
[u'3cngHSsAAAAJ', 'Universiade de vigo']
[u'-x0D_6oAAAAJ', 'B.Z. University']
[u'TFRp4PoAAAAJ', 'University of Siena']
[u'bWmpSpoAAAAJ', 'University of Southampton']
[u'nXgc1qAAAAAJ', 'Max Planck Institute of Cell Biology and Genetics']
[u'5uSYhLQAAAAJ', 'Leibniz-Institute of Freshwater Ecology and Inland Fisheries']
[u'F-3QqvsAAAAJ', 'University of Potsdam']
[u'Do5WhvYAAAAJ', 'Moffitt Cancer Center']
[u'0G_GekcAAAAJ', 'University of Aes']
[u'tOE5Oh0AAAAJ', 'Sokoine University of Agriculture']
[u'NPl4S80AAAAJ', 'University of Cambridge']
[u'T_5V1RMAAAAJ', 'CQUniversity']
[u'oYDWGmYAAAAJ', 'Stellenbosch University']
[u'Vmo7Sl8AAAAJ', 'Postdoctoral Research Fellow at Universit Paris-Sud XI']
[u'h2Z7zVwAAAAJ', 'Wageningen University']
[u'4mwFUXwAAAAJ', "universita' di padova"]
[u'YBQQcMsAAAAJ', 'Uppsala University']
[u'dimE9OQAAAAJ', 'Research Institute for Nature and Forest']
[u'bLCDtnAAAAAJ', 'Federal University of Alagoas']
[u'bTpxqJgAAAAJ', "MES' Abasaheb Garware College"]
[u'i7AAZWsAAAAJ', 'Aarhus University']
[u'v8V058QAAAAJ', 'University of Cambridge']
[u'HzupDnMAAAAJ', 'Australian National University']
[u'-iKYFKkAAAAJ', 'York University']
[u'E0sB7fUAAAAJ', 'Trinity College Dublin']
[u'qjrjBnMAAAAJ', 'Kazimierz Wielki University in Bydgoszcz']
[u'u7bZ9owAAAAJ', 'University of British Columbia']
[u'ldNXZukAAAAJ', 'Stockholm University']
[u'qPhpGZoAAAAJ', 'Univ. Bordeaux - UMR Biogeco']
[u'ZTHigyoAAAAJ', 'University of Aveiro']
[u'6DHTPb0AAAAJ', 'University of Debrecen']
[u'-nULu7oAAAAJ', 'USGS Alaska Science Center']
[u'9bB2ZRQAAAAJ', 'University of Gttingen']
[u'9AIIt6oAAAAJ', 'Queensland University of Technology']
[u's6dyNn4AAAAJ', 'Rhodes University']
[u'u7KGlXwAAAAJ', 'University of Bern (Institute of Ecology and Evolution)']
[u'puMFH_UAAAAJ', 'Universit della Calabria']
[u'UUmfZWsAAAAJ', 'University of Southern Queensland']
[u'fv2ZK5kAAAAJ', 'University of Amsterdam']
[u'f8VfB00AAAAJ', 'Smithsonian Institution']
[u'AxGPCwoAAAAJ', 'Guru Nanak Dev University']
[u'dvfnlAsAAAAJ', 'Tottori University of Environmental Studies']
[u'WF2hBKMAAAAJ', 'Chief of Atmospheric Physics Department of M. Nodia Institute of Geophysics of TSU']
[u'L5iWzxwAAAAJ', "Pachaiyappa's College"]
[u'QfKgQoYAAAAJ', 'University of Groningen']
[u'X0TG5VcAAAAJ', 'University of York']
[u'-NjjXUYAAAAJ', 'University of Adelaide']
[u'j0z9gGcAAAAJ', 'University of Debrecen']
[u'Za37buQAAAAJ', 'Assistant Professor. Ilia State University. Institute of Zoology']
[u'pTdxVdIAAAAJ', 'Edward Grey Institute']
[u'0FEptuMAAAAJ', 'Lund University']
[u'uxL3XqQAAAAJ', 'Complutense University of Madrid']
[u'1GAyqKkAAAAJ', 'University of Oxford (retired)']
[u'hDRCDJwAAAAJ', 'University of Oldenburg']
[u'MjKjmr0AAAAJ', 'Informatics Institute']
[u'UhVYwsAAAAAJ', 'postdoc Nederlands Instituut voor Ecologie - NIOO-KNAW']
[u'dpeV7AgAAAAJ', 'University of Johannesburg']
[u'W9tM-KoAAAAJ', 'Azim Premji University']
[u'H0oiHTAAAAAJ', 'University of Jyvskyl']
[u'xx8D9lAAAAAJ', 'Yantai Institute of Coastal Zone Research']
[u'6FQ1NjQAAAAJ', 'Gttingen University']
[u'vvpkTXsAAAAJ', 'New England Complex Systems Institute / Brandeis University']
[u'JQJ_kz8AAAAJ', 'Durrell Institute of Conservation and Ecology']
[u'jgDk4akAAAAJ', 'Liverpool University']
[u'uy1NEAYAAAAJ', 'Post-doctoral fellow @ University of Nantes']
[u'hWUF2PcAAAAJ', 'School of Biological and Conservation Sciences University of KwaZulu-Natal']
[u'4IAXZDEAAAAJ', 'Lecturer@University of Lincoln']
[u'FJ6XYA4AAAAJ', 'Genoa University']
[u'vmiDfiQAAAAJ', 'Federal University of Gois (UFG)']
[u'Ysqcx3oAAAAJ', 'Associated Professor Fluminense Federal University']
[u'y4uTyvsAAAAJ', 'University of Turku']
[u'D5ervmgAAAAJ', 'University of East Anglia']
[u'qxtYB_AAAAAJ', 'Macquarie University']
[u'RVJ7RZgAAAAJ', 'Anand Agricultural University']
[u'WW5HRscAAAAJ', 'Forest Research Institute Malaysia']
[u'CM5_HzIAAAAJ', 'Stockholm university']
[u'hZ8sSiIAAAAJ', 'Netherlands Institute for Public Health and Environment']
[u'_ZeY1XQAAAAJ', 'The University of Sheffield']
[u'eHw7qZ4AAAAJ', 'McGill University']
[u'vfRATm8AAAAJ', 'University of Warsaw']
[u'CFd_n-4AAAAJ', "University of Rome 'Tor Vergata'"]
[u'9KwiNO8AAAAJ', 'University of Lille']
[u'7FRtup0AAAAJ', 'National Evolutionary Synthesis Center']
[u'IpOMPXoAAAAJ', 'University Ovidius Constanta']
[u'IpOMPXoAAAAJ', 'University Ovidius Constanta']
[u'Lc_k6DDhVtkC', 'University of York']
[u'U1Dd6VUAAAAJ', 'University of York']
[u'lxdDl9AAAAAJ', 'Galway-Mayo Institute of Technology']
[u'HdlAP-0AAAAJ', 'University of Stirling']
[u'IuQnBxgAAAAJ', 'University of Malaya']
[u'2LsErxQAAAAJ', 'University of Aveiro']
[u'tYAS62EAAAAJ', 'Griffith University']
[u'V67ohP0AAAAJ', 'McGill University']
[u'BPg3gx4AAAAJ', 'University Of Azad Jammu and Kashmir Muzaffarabad']
[u'YTtXLzYAAAAJ', 'ISPRA Institute for Environmental Protection and Research']
[u'oUB1pJAAAAAJ', 'James Cook University']
[u'L0lS_nIAAAAJ', 'Durham University']
[u'-GGmICIAAAAJ', 'National University of Singapore']
[u'ADqqbWwAAAAJ', 'Bird Studies Canada / University of Guelph']
[u'EVV-i28AAAAJ', 'Swedish University of Agricultural Sciences']
[u'pMEc-oMAAAAJ', 'Memorial University']
[u'uS6ggs0AAAAJ', 'Southern Cross University']
[u'EbTRHQYAAAAJ', 'Institute of Ecology']
[u'pTy-CwcAAAAJ', 'University of KwaZulu-Natal']
[u'w4DzBJgAAAAJ', 'University of Newcastle']
[u'6H4kl74AAAAJ', 'Univ Western Australia']
[u'vJycHGkAAAAJ', 'University of Debrecen']
[u'RLjR0TUAAAAJ', 'North-Eastern Hill University']
[u'RIuREhAAAAAJ', 'The University of Sydney']
[u'pI9icWEAAAAJ', 'University of Konstanz']
[u'RrXEfMkAAAAJ', 'research assistant in Institute of fish resources - Varna']
[u'meHuzu0AAAAJ', 'University of vora']
[u'GZI92JIAAAAJ', 'Max Planck Institute of Molecular Plant Physiology']
[u'm4QpSaAAAAAJ', 'University of British Columbia']
[u'4YZF12kAAAAJ', 'Wageningen University']
[u'JCXJ5JIAAAAJ', 'Lecturer at Institute of Tropical Aquaculture']
[u'XIvGTpIAAAAJ', 'Institute of Social']
[u'-at-_dcAAAAJ', 'University of Pretoria']
[u'qmL0H9gAAAAJ', 'Ghent University']
[u'pR-GL-AAAAAJ', 'Institute of Continuing Education']
[u'oprxP30AAAAJ', 'Institute of Applied Ecology']
[u'OeEwpLUAAAAJ', 'Federal University of Bahia']
[u'V17ehcsAAAAJ', 'University of Melbourne']
[u'UEJhT84AAAAJ', 'Leiden University']
[u'90gxLEYAAAAJ', 'University of Wrzburg']
[u'IEdXznkAAAAJ', 'University Center of Caratinga']
[u'fEihzaEAAAAJ', 'Universit Lyon 1']
[u'7B4WOIQAAAAJ', 'IUPUI University Library']
[u'SZdhFxMAAAAJ', 'University of Alberta']
[u'67pDeJ4AAAAJ', 'University of Jyvaskyla']
[u'epujbdoAAAAJ', 'Institute of Zoology']
[u'4IETlnEAAAAJ', 'Institut de recherche pour le Dveloppement (IRD)']
[u'ES7KIt8AAAAJ', 'Dali University']
