u'mvx79E8AAAAJ', 'Akron University',University of Akron Main Campus
u'D1WeWugAAAAJ', 'Aquatic Ecologist at Auburn University',Auburn University Main Campus
u'LHfqTHwAAAAJ', 'Arkansas State University',Arkansas State University-Main Campus
u'xJK0wK0AAAAJ', 'Assistant Professor at Southern Illinois University',Southern Illinois University Carbondale
u'nJ0N7xoAAAAJ', 'Assistant Professor at University of North Texas',University of North Texas
u'lOhiBXAAAAAJ', 'Assistant Professor of Biology - Florida International University',Florida International University
u'XVDubskAAAAJ', 'Assistant Professor of Biology - Florida International University',Florida International University
u'QEABuToAAAAJ', 'Associate Researcher (post-Doc) The Pennsylvania State University',Pennsylvania State University-Main Campus
u'VI_Lb-YAAAAJ', 'Auburn University',Auburn University Main Campus
u'8-3_fxYAAAAJ', 'Auburn University',Auburn University Main Campus
u'5pOXCYMAAAAJ', 'Auburn University',Auburn University Main Campus
u'EX8T9qIAAAAJ', 'BEACON Center for the Study of Evolution in Action',Michigan State University
u'vPoV9QwAAAAJ', 'Biodiversity Institute',University of Kansas
u'2UppxVoAAAAJ', 'Biology University of Montana',The University of Montana
u'OISkfmcAAAAJ', 'California Polytechnic State University',California Polytechnic State University-San Luis Obispo
u'bQSVpFQAAAAJ', 'California State University',California State University-Fresno
u'ORCqwrkAAAAJ', 'California State University Dominguez Hills',California State University-Dominguez Hills
u'OKURpwQAAAAJ', 'California State University Fullerton',California State University-Fullerton
u'0gCO5tUAAAAJ', 'California State University Fullerton',California State University-Fullerton
u'6WP9IDYAAAAJ', 'California State University Fullerton',California State University-Fullerton
u'Myiq_N8AAAAJ', 'Center for Conservation Biology',College of William and Mary
u'TW2blrgAAAAJ', 'Center for Entrepreneurship',University of Nebraska-Lincoln
u'GXwqnUwAAAAJ', 'Center for Environmental Studies and Department of Biology',Virginia Commonwealth University
u'kTh3ldQAAAAJ', 'Center for Forest Sustainability',Auburn University Main Campus
u'NgT6914AAAAJ', 'Center for Microbial Genetics and Genomics',Northern Arizona University
u'KSRr5EQAAAAJ', 'City College of the City University of New York',CUNY City College
u'5_poppIAAAAJ', 'City University of New York',CUNY Graduate School and University Center
u'nZni2jMAAAAJ', 'Clarion University',Clarion University of Pennsylvania
u'fsihvFMAAAAJ', 'College of Earth',Oregon State University
u'qWNVcScAAAAJ', 'College of Forestry and Conservation',The University of Montana
u'Tmjced4AAAAJ', 'College of Natural Resources',University of Idaho
u'tc6-lQsAAAAJ', 'College of William and Mary and Virginia Commonwealth University',College of William and Mary
u'GCPtaewAAAAJ', 'College Professor',New Mexico State University-Main Campus
u'OQ-ahLQAAAAJ', 'Cornell University Graduate School',Cornell University
u'uWLo3L0AAAAJ', 'Dean of the College of Sciences and Professor of Biology',Sam Houston State University
u'f3GIS0QAAAAJ', 'Department of Biological Sciences - Purdue University',Purdue University-Main Campus
u'kW91Dz0AAAAJ', 'Department of Biological Sciences; North Dakota State University',North Dakota State University-Main Campus
u'rqaajFUAAAAJ', 'Department of Biology Indiana State University',Indiana State University
u'k83XsbUAAAAJ', 'Department of Forestry and Natural Resources Purdue University',Purdue University-Main Campus
u'fv8umPcAAAAJ', 'Distingusished University Professor',University of Toledo
u'ftAM83oAAAAJ', 'Duke University Marine Lab',Duke University
u'euw7CcQAAAAJ', 'Earth Institute',Columbia University in the City of New York
u'h9oSv_8AAAAJ', 'Earth System Research Center',University of New Hampshire-Main Campus
u'-E70BFsAAAAJ', 'Eastern New Mexico University',Eastern New Mexico University-Main Campus
u'UVpJMoIAAAAJ', 'Ferrum college',Ferrum College
u'6wJ8BtAAAAAJ', 'Florida Museum of Natural History & University of Florida',University of Florida
u'tckqx3QAAAAJ', 'Forestry and Natural Resources Purdue University Great Smoky Mountains National Park',Purdue University-Main Campus
u'ETjYs6AAAAAJ', 'Franklin & Marshall College',Franklin and Marshall College
u'LSxTtpMAAAAJ', 'Geographic Information Science Center of Excellence',South Dakota State University
u'95xNBicAAAAJ', 'Georgia Institute of Technology',Georgia Institute of Technology-Main Campus
u'EAzpJiQAAAAJ', 'Georgia Institute of Technology',Georgia Institute of Technology-Main Campus
u'_4PzVMEAAAAJ', 'Georgia Institute of Technology',Georgia Institute of Technology-Main Campus
u'NyJkxN0AAAAJ', 'Graduate Center',CUNY Graduate School and University Center
u'xdQ7SOgAAAAJ', 'Graduate Student at the University of Wisconsin',University of Wisconsin-Madison
u'2K3JyE4AAAAJ', 'Graduate Student Florida State University',Florida State University
u'kwqdI-cAAAAJ', 'Graduate Student Princeton University',Princeton University
u'qdKDXuYAAAAJ', 'Harbor Branch Oceanographic Institute at Florida Atlantic University',Florida Atlantic University
u'E-Ktuu8AAAAJ', 'Harbor Branch Oceanographic Institute at Florida Atlantic University',Florida Atlantic University
u'lmmq0XsAAAAJ', 'Hopkins Marine Station of Stanford University',Stanford University
u'QrIMPsYAAAAJ', 'Indiana University',Indiana University-Bloomington
u'NjfTEZsAAAAJ', 'Indiana University',Indiana University-Bloomington
u'2W9CnIcAAAAJ', 'Indiana University',Indiana University-Bloomington
u'TyJ1jhgAAAAJ', 'Indiana University',Indiana University-Bloomington
u'8v1PvG1CERwC', 'Indiana University',Indiana University-Bloomington
u'8rzcENYAAAAJ', 'Indiana University',Indiana University-Bloomington
u'BMcwwBgAAAAJ', 'Indiana University',Indiana University-Bloomington
u'33INQfIAAAAJ', 'Indiana University',Indiana University-Bloomington
u'tLcU-LoAAAAJ', 'Indiana University-Purdue University Indianapolis',Indiana University-Purdue University-Indianapolis
u'NCJBBkoAAAAJ', 'Institute for Genomic Biology',University of Illinois at Urbana-Champaign
u'SEZM7ToAAAAJ', 'Institute for Integrative Bird Behavior Studies',College of William and Mary
u'PeA4HgUAAAAJ', 'Institute for Marine & Coastal Science',Rutgers University-New Brunswick
u'_ITn0nwAAAAJ', 'Institute of Ecology and Evolution',University of Oregon
u'bxM-NvUAAAAJ', 'Institute of the Environment',University of Arizona
u'Hy2mvMkAAAAJ', 'Iowa State Univ.',Iowa State University
u'nPaqkiUAAAAJ', 'Louisiana State University',Louisiana State University and Agricultural & Mechanical College
u'GSBO1qQAAAAJ', 'Louisiana State University',Louisiana State University and Agricultural & Mechanical College
u'OUHk0TcAAAAJ', 'Louisiana State University',Louisiana State University and Agricultural & Mechanical College
u'pCaesIEAAAAJ', 'Louisiana State University',Louisiana State University and Agricultural & Mechanical College
u'KvpReR8AAAAJ', 'Louisiana State University Museum of Natural Science',Louisiana State University and Agricultural & Mechanical College
u'fYKyK7YAAAAJ', 'Lousiana State University',Louisiana State University and Agricultural & Mechanical College
u'Ddk5te0AAAAJ', 'Lousiana State University',Louisiana State University and Agricultural & Mechanical College
u'0zoHKNYAAAAJ', 'LSU AgCenter',Louisiana State University and Agricultural & Mechanical College
u'-ig8teoAAAAJ', 'Marine Science Center',Northeastern University
u'9o7i_cUAAAAJ', 'Marine Science Institute',University of California-Santa Barbara
u'TY9GRb8AAAAJ', 'Marine Science Institute',University of California-Santa Barbara
u'6pj0cygAAAAJ', 'Marine Science Institute',University of California-Santa Barbara
u'CNuyivcAAAAJ', 'Massachusetts Institute of Technology and University of Illinois',Massachusetts Institute of Technology
u'4g-VV-gAAAAJ', 'Mathematical Biosciences Institute at Ohio State University',Ohio State University-Main Campus
u'wj6mD5QAAAAJ', 'Miami University',Miami University-Oxford
u'qJdcsHUAAAAJ', 'Miami University',Miami University-Oxford
u'WyFgD1YAAAAJ', 'Michigan State Universtiy',Michigan State University
u'eXieIjsAAAAJ', 'Mt. Hood Community College',Mt Hood Community College
u'1iLyRxoAAAAJ', 'Natural Resources Research Institute',University of Minnesota-Duluth
u'BgvIuVkAAAAJ', 'New Mexico State University',New Mexico State University-Main Campus
u'KBSM2VIAAAAJ', 'North Carolina State University',North Carolina State University at Raleigh
u'AlyEx-IAAAAJ', 'North Carolina State University',North Carolina State University at Raleigh
u'PR9Y-isAAAAJ', 'North Carolina State University',North Carolina State University at Raleigh
u'4CE6cToAAAAJ', 'North Carolina State University',North Carolina State University at Raleigh
u'ElsUnlQAAAAJ', 'North Carolina State University',North Carolina State University at Raleigh
u'37VMN8wAAAAJ', 'North Carolina State University',North Carolina State University at Raleigh
u'YWu7vZ4AAAAJ', 'North Carolina State University',North Carolina State University at Raleigh
u'HLrGTT0AAAAJ', 'North Carolina State University',North Carolina State University at Raleigh
u'Rd3MdDkAAAAJ', 'North Carolina State University and Museum of Natural Sciences',North Carolina State University at Raleigh
u'W4lij94AAAAJ', 'North Dakota State University',North Dakota State University-Main Campus
u'gX2g7D8AAAAJ', 'Northern Arizona University; University of Tennessee',Northern Arizona University
u'ev0tSJIAAAAJ', 'Ohio State University',Ohio State University-Main Campus
u'pLu2xMIAAAAJ', 'Ohio State University',Ohio State University-Main Campus
u'PWLwpH0AAAAJ', 'Ohio State University',Ohio State University-Main Campus
u'4DJRb7IAAAAJ', 'Ohio University',Ohio University-Main Campus
u'9rGYBWIAAAAJ', 'Ohio University',Ohio University-Main Campus
u'mNAuZ34AAAAJ', 'Ohio University',Ohio University-Main Campus
u'eh-FRKAAAAAJ', 'Oklahoma State University',Oklahoma State University-Main Campus
u'oK2astEAAAAJ', 'Oklahoma State University',Oklahoma State University-Main Campus
u'WDotaBYAAAAJ', 'Oklahoma State University',Oklahoma State University-Main Campus
u'6ba8w0UAAAAJ', 'Oklahoma State University',Oklahoma State University-Main Campus
u'MVgJhpUAAAAJ', 'Oklahoma State University',Oklahoma State University-Main Campus
u'I9vC6ycAAAAJ', 'Oklahoma State University',Oklahoma State University-Main Campus
u'Fu5uk8AAAAAJ', 'Oklahoma State University',Oklahoma State University-Main Campus
u'P00cXb8AAAAJ', 'Oregon STate University',Oregon State University
u'CNm8cQIAAAAJ', 'Oregon State University and Executive Director',Oregon State University
u'ACxz3oYAAAAJ', 'Penn State University',Pennsylvania State University-Main Campus
u'mBle9rsAAAAJ', 'Penn State University',Pennsylvania State University-Main Campus
u'sXpY0CUAAAAJ', 'Penn State University',Pennsylvania State University-Main Campus
u'JXiOJk8AAAAJ', 'Penn State University',Pennsylvania State University-Main Campus
u'40PAHpsAAAAJ', 'Penn State University',Pennsylvania State University-Main Campus
u'SRC_kJQAAAAJ', 'Penn State University',Pennsylvania State University-Main Campus
u'8C87yoIAAAAJ', 'Pennsylvania State University',Pennsylvania State University-Main Campus
u'lWPPM6kAAAAJ', 'Pennsylvania State University',Pennsylvania State University-Main Campus
u'Wxm3q-gAAAAJ', 'Pennsylvania State University',Pennsylvania State University-Main Campus
u'X1sH8R0AAAAJ', 'Pennsylvania State University',Pennsylvania State University-Main Campus
u'iTzH5WUAAAAJ', 'Pennsylvania State University',Pennsylvania State University-Main Campus
u'vsTeLdgAAAAJ', 'PhD Candidate at University of New Hampshire',University of New Hampshire-Main Campus
u'EJNqo8QAAAAJ', 'PhD Candidate in Wildlife Ecology and Conservation - University of Florida',University of Florida
u'HoP-PuQAAAAJ', 'PhD Student at  Utah State University',Utah State University
u'XoLDsiUAAAAJ', 'PhD Student at Michigan State University',Michigan State University
u'hAmV7WYAAAAJ', 'PhD. Candidate; University of Kansas',University of Kansas
u'kJnm9LMAAAAJ', 'Post-doc University of California Santa Barbara',University of California-Santa Barbara
u'3sAdLboAAAAJ', 'Postdoc Yale University',Yale University
u'bxbOvMgAAAAJ', 'Postdoctoral Associate - University of Florida',University of Florida
u'fzVTu2UAAAAJ', 'Postdoctoral fellow - University of California Davis',University of California-Davis
u'Y8FpsToAAAAJ', 'Professor Massachusetts Institute of Technology',Massachusetts Institute of Technology
u'Awp4-1M0Mn0C', 'Professor Microbiology and Ecology University of Tennessee',The University of Tennessee
u'LYy5Ny8AAAAJ', 'Professor of Evolutionary Ecology; University of New Mexico',University of New Mexico-Main Campus
u'BYteKh0AAAAJ', 'Professor of Geography and Earth Sciences; Executive Director of the Center for Applied GIScience',University of North Carolina at Charlotte
u'zKK_LjYAAAAJ', 'Professor of Zoology Emeritus. University of New England',University of New England
u'vHDhy1IAAAAJ', 'Purdue University',Purdue University-Main Campus
u'5SSCB5EAAAAJ', 'Purdue University',Purdue University-Main Campus
u'cmHtVjAAAAAJ', 'Purdue University',Purdue University-Main Campus
u'mMW7-l0AAAAJ', 'Purdue University',Purdue University-Main Campus
u'jXo8h0oAAAAJ', 'Purdue University',Purdue University-Main Campus
u'8ze6fQUAAAAJ', 'Purdue University',Purdue University-Main Campus
u'FXbj0OQAAAAJ', 'Purdue University',Purdue University-Main Campus
u'4l64HW0AAAAJ', 'Purdue University',Purdue University-Main Campus
u'zv4fICAAAAAJ', 'Rutgers University',Rutgers University-New Brunswick
u'iamhfDAAAAAJ', 'Rutgers University',Rutgers University-New Brunswick
u'vPRQiwIAAAAJ', 'Rutgers University',Rutgers University-New Brunswick
u'1O_lPNYAAAAJ', 'Rutgers University',Rutgers University-New Brunswick
u'Qm0XIBQAAAAJ', 'Rutgers University',Rutgers University-New Brunswick
u'asryvH0AAAAJ', 'Rutgers-The State University of New Jersey',Rutgers University-New Brunswick
u'NyttJaAAAAAJ', 'Saint Louis University',Saint Louis University-Main Campus
u'a8NaIiEAAAAJ', 'Southern Illinois University - Carbondale',Southern Illinois University Carbondale
u'1ede-6AAAAAJ', 'St. Lawrence University',St Lawrence University
u'QhmIDn8AAAAJ', 'State University of New York at Buffalo',SUNY College at Buffalo
u'RMg7RqkAAAAJ', 'Stony Brook University (SUNY)',Stony Brook University
u'L2xC0U0AAAAJ', 'Texas A&M Univ',Texas A & M University
u'Mju0vocAAAAJ', 'Texas A&M University',Texas A & M University at Galveston
u'ZQhZeCYAAAAJ', 'Texas A&M University',Texas A & M University
u'-AFVO6MAAAAJ', 'Texas A&M University',Texas A & M University at Galveston
u'ceDAREwAAAAJ', 'Texas A&M University',Texas A & M University
u'4vqRTOAAAAAJ', 'Texas A&M University',Texas A & M University
u'ZuG5CxwAAAAJ', 'Texas A&M University',Texas A & M University
u'_DBbCXQAAAAJ', 'Texas A&M University',Texas A & M University
u'Lb8v7sgAAAAJ', 'Texas A&M University',Texas A & M University
u'3Q-RsS8AAAAJ', 'Texas A&M University',Texas A & M University
u'Uw2MIYoAAAAJ', 'Texas A&M University',Texas A & M University
u'ON3qwxAAAAAJ', 'Texas A&M University',Texas A & M University
u'8cBOsDcAAAAJ', 'Texas A&M University - Corpus Christi',Texas A & M University-Corpus Christi
u'LFwDVQEAAAAJ', 'Texas A&M University-Corpus Christi',Texas A & M University-Corpus Christi
u'dppvNhsAAAAJ', 'Texas State University',Texas State University-San Marcos
u'tlGnuiMAAAAJ', 'The Ohio State University',Ohio State University-Main Campus
u'LbQvqKYAAAAJ', 'The Ohio State University',Ohio State University-Main Campus
u'_KNo6CUAAAAJ', 'The Pennsylvania State University',Pennsylvania State University-Main Campus
u'RXOOT5kAAAAJ', 'The State University of New Jersey',Rutgers University-New Brunswick
u'zxT9sacAAAAJ', 'The University of Chicago',University of Chicago
u'1CkxVtEAAAAJ', 'The University of Chicago',University of Chicago
u'zjXZiCMAAAAJ', 'The University of Chicago',University of Chicago
u'2lbWNPAAAAAJ', 'The University of Iowa',University of Iowa
u'iSU7tx0AAAAJ', 'The University of Texas',The University of Texas at San Antonio
u'OjPu1IUAAAAJ', 'Tulane University',Tulane University of Louisiana
u'rCtk4tIAAAAJ', 'Tulane University and Smithsonian Tropical Research Institute',Tulane University of Louisiana
u'rFWqWRcAAAAJ', 'Univ Houston',University of Houston
u'9i2wHgMAAAAJ', 'Univ. Cal. Berkeley',University of California-Berkeley
u'YCDTVWIAAAAJ', 'Univ. Calif. Davis',University of California-Davis
u'I7C2Hz0AAAAJ', 'Univ. of CA',University of California-Santa Barbara
u'7No-eDkAAAAJ', 'Univeristy of Maine',University of Maine
u'3SUu-okAAAAJ', 'University at Albany',SUNY at Albany
u'vW_Ov4QAAAAJ', 'University at Buffalo; LDC',SUNY College at Buffalo
u'uRZIRj0AAAAJ', 'University Distinguished Professor',University of Kansas
u'w6n7O2cAAAAJ', 'University Distinguished Professor Department of Fish and Wildlife Resources University of Idaho',University of Idaho
u'A5RCBfEAAAAJ', 'University of',University of Washington-Seattle Campus
u'HUfTMk0AAAAJ', 'University of',University of Florida
u'Y4Sjd-IAAAAJ', 'University of Akron',University of Akron Main Campus
u'-H7Y-VUAAAAJ', 'University of CA Santa Barbara',University of California-Santa Barbara
u'_-8WvB4AAAAJ', 'University of California',University of California-Davis
u'_C2p2KAAAAAJ', 'University of California',University of California-Santa Barbara
u'_ZkNmMwAAAAJ', 'University of California',University of California-Santa Cruz
u'2FJuGGkAAAAJ', 'University of California',University of California-Davis
u'2TKnDG8AAAAJ', 'University of California',University of California-Davis
u'4KPm3fUAAAAJ', 'University of California',University of California-Davis
u'4LK1mygAAAAJ', 'University of California',University of California-Riverside
u'50k_IpMAAAAJ', 'University of California',University of California-Santa Cruz
u'66AepygAAAAJ', 'University of California',University of California-Davis
